EmployeeID,Name,Department,Salary,HireDate,PhoneNumber
1001,Alice,Engineering,75000,2020-01-15,555-0101
1002,Bob,Sales,60000,2019-06-20,555-0102
1001,Alice,Engineering,75000,2020-01-15,555-0101
1003,Charlie,Engineering,80000,2021-03-10,555-0103
1002,Bob,Sales,60000,2019-06-20,555-0102
1004,Diana,HR,55000,2020-11-05,555-0104
1005,Eve,Sales,62000,2021-08-12,555-0105
1001,Alice,Engineering,75000,2020-01-15,555-0101
1006,Frank,Finance,70000,2020-05-01,555-0106
1002,Bob,Sales,60000,2019-06-20,555-9999
1007,Grace,Engineering,78000,2019-11-12,555-0107
1008,Henry,Sales,65000,2021-02-28,555-0108
1003,Charlie,Engineering,80000,2021-03-10,555-0103
